username,name,school,org_type,category_hint,active,notes
nycu.__.ee,電機工程學系學生會,nycu,department,學術,true,search result instagram.com/nycu.__.ee
nycu_ms,陽明交大管科系學會,nycu,department,學術,true,search result instagram.com/nycu_ms
nycu_ce,陽明交大土木系學會,nycu,department,學術,true,search result instagram.com/nycu_ce
ce.nycu,陽明交大土木工程學系(系官方),nycu,department,學術,true,search result instagram.com/ce.nycu
nycu_me,陽明交大機械系,nycu,department,學術,true,search result instagram.com/nycu_me
nycu_ece_college,陽明交大電機學院,nycu,department,學術,true,search result instagram.com/nycu_ece_college
nctu.materials,交大材料給問嗎(材料系),nycu,department,學術,true,非官方系帳號; search result instagram.com/nctu.materials
nycu.iaa,陽明交大應用藝術研究所,nycu,department,藝文,true,search result instagram.com/nycu.iaa
nycuics.1991,陽明交大傳播研究所,nycu,department,學術,true,search result instagram.com/nycuics.1991
nycudcat,陽明交大傳播與科技學系,nycu,department,學術,false,"search result instagram.com/nycudcat; 503 on 2026-08-21 backfill, handle likely wrong"
nycu_icn,陽明交大電控工程研究所,nycu,department,學術,true,search result instagram.com/nycu_icn
nycu_imf,陽明交大資財系學會,nycu,department,學術,true,search result instagram.com/nycu_imf
nycu_tlm,運輸與物流管理學系學生會,nycu,department,學術,true,search result instagram.com/nycu_tlm
nthu_judo,清大交大聯合柔道社,both,club,運動,true,search result instagram.com/nthu_judo
meichu_prep_cmte,梅竹籌備委員會,both,club,賽事,true,search result instagram.com/meichu_prep_cmte
mc_hackathon,梅竹黑客松,both,club,學術,true,search result instagram.com/mc_hackathon
tedxnthu_,TEDxNTHU,nthu,club,講座,true,search result instagram.com/tedxnthu_
tedxnycu,TEDxNYCU,nycu,club,講座,true,handle 來自搜尋摘要; unverified
castnet.nycu,喀報 CastNet(傳科系校園媒體),nycu,department,校園媒體,true,FB 帳號 castnet.nycu; IG 同名 unverified
nthu_glee,清大合唱團,nthu,club,音樂性,true,搜尋見IG貼文帳號nthu_glee（頁名：清華大學合唱團）
nthu_acappella,清大人聲樂創社,nthu,club,音樂性,true,官方社團系統登錄；IG搜尋顯示566粉絲
nthu_pianoclub,清大鋼琴社,nthu,club,音樂性,true,FB粉專自介稱其為官方IG；搜尋顯示407粉絲
nthustrings,清大弦樂社,nthu,club,音樂性,true,新帳號（2026仍活躍）；舊帳號nthustrings4ever自介「這裡是清大弦樂社的新帳號」
nthu_grc,清大直笛魅力四社,nthu,club,音樂性,true,官方社團系統登錄；IG搜尋（NTHU Glamorous Recorder Club）
guzheng_nthu,清大古箏社,nthu,club,音樂性,true,官方社團系統登錄網站；另有行政網站nthuguzheng2018.blogspot.com
nthu_cmc,清大國樂社,nthu,club,音樂性,true,IG搜尋（清華大學國樂社；2026比賽貼文活躍）
nthu_harmonica_club,清大口琴社,nthu,club,音樂性,true,IG搜尋（清大口琴社；185粉絲）
ukulele_nycu_nthu,清大烏克麗麗社,nthu,club,音樂性,true,清交大聯合社帳號（清交大烏克麗麗社；2025-2026社課貼文活躍）
nthu_dj_club,清大DJ社,nthu,club,音樂性,true,IG搜尋見多篇貼文帳號nthu_dj_club（頁名：清大DJ社）
nthu_cookingclub,清大烹飪社,nthu,club,技藝性,true,IG搜尋（422粉絲；2026貼文活躍）
nthu_dessert_,清大RoS甜點廚房,nthu,club,技藝性,true,官方社團系統登錄；IG頁名「清大甜點社」自介RoS甜點廚房｜RoS Kitchen；linktr.ee/nthudessert
nthu_bgclub,清大桌上遊戲社,nthu,club,技藝性,true,IG搜尋（清大桌遊社；168粉絲）
nthuccgc,清大卡牌遊戲社,nthu,club,技藝性,true,IG搜尋（清華大學卡牌遊戲社；56粉絲38貼文）
nthu_lemon_,清大清檸新聞小組,nthu,club,技藝性,true,IG搜尋（清檸；1094粉絲）；linktr.ee/nthu_lemon
nthu_glasscraft,清大玻璃工藝社,nthu,club,藝術性,true,官方社團系統登錄；IG頁名「清大玻璃工藝社_啵玻璃」（641粉絲）；linktr.ee/nthu_glasscraft；未見FB
nthu_colorguard,清華旗隊,nthu,club,藝術性,true,官方社團系統登錄；linktr.ee/nthucg僅列IG；未見FB
nthu.maker,清大自造者社,nthu,club,藝術性,true,IG搜尋（清大自造者社；88粉絲）
nthu_gdc,清大遊戲創作社,nthu,club,藝術性,true,IG搜尋（212粉絲）；官網nthugdc.github.io
nthu_contemporarydance,清大當代舞蹈社,nthu,club,藝術性,true,IG搜尋（264粉絲）
nthu_drama_playground_,清大表演劇樂部,nthu,club,藝術性,true,官方社團系統登錄網站；未見FB
nthu_calligraphy,清大書藝社,nthu,club,藝術性,true,IG搜尋（國立清華大學書藝社；255粉絲）
nthu_folkdance,清大世界民族舞蹈社,nthu,club,藝術性,true,IG搜尋（NTHU Folk Dance Club；107粉絲）
nthu_light_dance_2014,清大光舞藝術社,nthu,club,藝術性,true,IG搜尋見多篇貼文帳號（頁名：清大光舞藝術社）
flower.handcrafts,清大花格子手作社,nthu,club,藝術性,true,官方社團系統登錄；IG搜尋（154粉絲192貼文）
nthu.peking_opera,清大京劇社,nthu,club,藝術性,true,IG搜尋（295粉絲；2025京崑聯演貼文）
nthu_furry,清大獸文化社,nthu,club,藝術性,true,IG搜尋（84粉絲；2026/6正式成立）；linktr.ee/nthufurry
nthu_acgnsub_club,清大ACGN次文化社,nthu,club,藝術性,true,IG搜尋（2026/7創社招募貼文；20粉絲）
nthu_skating_club,清大溜冰社,nthu,club,體育性A,true,linktr.ee/nthu_skating_club 直接連結 IG
nthu_fitness,清大健身社,nthu,club,體育性B,true,IG帳號標題「清華健身社」；搜尋結果佐證
nthu_ocsa,清大僑生聯誼會,nthu,club,綜合性,true,IG 已從 nthu.ocsa 改名（2026-08 sweep 查證）; linktr.ee/nthu.ocsa 明示為清大僑生聯誼會並連結 IG
tzujing.kga_2023,清大雄友會,nthu,club,綜合性,true,清大學務處公告列為高雄校友會 IG；帳號名含屆別、可能逐屆更換
kga.yummy_nthu,清大雄友會,nthu,club,綜合性,true,雄友週活動帳號；Dcard 官方回覆稱為「清大雄友週 IG」
nthu.tsa,清大轉學生聯誼會同好會,nthu,club,綜合性,true,清大教務處轉學生報到須知直接列出
nthuhxz,清大附友會,nthu,club,綜合性,true,與中山校友會共用帳號；師大附中官網公告稱活動由清大附友會與中山校友會主辦並提供此帳號
vsa_nthu,清大越南學生聯誼會,nthu,club,綜合性,true,清大全球事務處活動公告直接標示 VSA NTHU 及此帳號
nthugsa27,清大畢業生聯誼會,nthu,official,自治,true,IG 顯示名「清大25級-畢聯會」；屆別帳號（每屆換帳號）；2026-08 sweep r3 換屆 25→27
nthu_phys,清大物理系學會,nthu,department,自治,true,IG 顯示名「清大物理系學會」；bio 另載 FB「清華大學物理系系學會」
nthuchem26,化學系會,nthu,department,自治,true,IG 顯示名「清大化學系學會」；26級屆別帳號、貼文少
nthumseofficial,清大材料系學會,nthu,department,自治,true,材料系學會 FB 頁面說明載明 IG 為 nthumseofficial；unverified
nthu_pmesa,動機系會,nthu,department,自治,true,IG 顯示名「清大動機系學會」
nthu_qf,清大計財系系學會,nthu,department,自治,true,IG 顯示名「清大計財系系學會」；bio 自稱計財28級系學會
nthu_ei,清大英語教學系系學會,nthu,department,自治,true,IG 顯示名「清大英語教學系系學會」
nthu_econ,經濟系會,nthu,department,自治,true,IG 顯示名「清大經濟系學會」
nthu_ess_sa_official,清大工程與系統科學系學會,nthu,department,自治,true,IG 顯示名「清大工程與系統科學系學會」（工科系學會）
nthufll_sa,外語系會,nthu,department,自治,true,IG 顯示名「清大外語系學會」
nthu_spe,清大特教系學會,nthu,department,自治,true,IG 顯示名「清大特教系學會」
nthu_epc,清大教育心理與諮商學系,nthu,department,自治,true,搜尋結果出現 instagram.com/nthu_epc 並關聯心諮系；系學會或系方經營 unverified
nthu_jad,清大藝術與設計學系,nthu,department,自治,true,IG 顯示名「國立清華大學藝術與設計學系」；系方帳號，未見獨立系學會帳號，unverified
nthu_gdece,清大幼兒教育學系,nthu,department,自治,true,IG 顯示名「國立清華大學 幼兒教育學系」；系方帳號，未見獨立系學會帳號，unverified
nthuibp_official,清大清華學院國際學士班,nthu,department,自治,true,IG「International Bachelor Degree Program」官方帳號；學會或班辦經營 unverified
nycu.sunrise.filmclub,陽明日出電影社,nycu,club,學藝性社團,true,NYCU官方社團連結頁(運動與社團)直連此IG;陽明校區
nycu_cocktail_club,陽明調酒文化研究社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此IG;陽明校區
nycucreatyme,陽明羊大隨彩社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此IG;陽明校區
ym_choir,陽明合唱團,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此IG;陽明校區
ymfd__is_the_best,陽明民族舞蹈社,nycu,club,康樂性社團,true,NYCU官方社團連結頁直連此IG;陽明校區;英文名YMFD
ymrm_27th,陽明熱門音樂社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此IG;27屆帳號（2026-08 sweep 由 26th 更新）;陽明校區
nycu_ym_hsnu_alumni,陽明校區師大附中校友會,nycu,club,綜合性社團,true,學務處社團介紹頁列出；陽明校區
tsc.nycu,交大轉學生聯誼會,nycu,club,綜合性社團,true,學務處頁列 linktr.ee/tsc.nycu，linktree 內含 IG；光復校區
nycuisag,陽明國際大使團112（ISAG）,nycu,club,綜合性社團,true,學務處社團介紹頁列出；陽明校區
nycu_if,陽明勵青社,nycu,club,服務性社團,true,學務處社團介紹頁列出；陽明校區
nymudooooooooogs,陽明關懷生命社,nycu,club,服務性社團,true,學務處社團介紹頁列出（校犬關懷主題帳號）；陽明校區
nycu_chingeuo,陽明交通大學青少年幼兒服務社,nycu,club,服務性社團,true,學務處社團介紹頁列出；陽明校區
nycuhellolove,陽明愛呀，你好！社,nycu,club,服務性社團,true,學務處社團介紹頁列出；陽明校區
ym_baseball.strong,陽明棒球社（國立陽明交通大學棒球社）,nycu,club,體能性社團,true,學務處社團介紹頁列出；陽明校區
nycu_soft_tennis,陽明軟式網球社,nycu,club,體能性社團,true,學務處社團介紹頁列出；陽明校區
nycu.swimming,陽明游泳社,nycu,club,體能性社團,true,學務處社團介紹頁列出；陽明校區
ym_archery,陽明射箭社（國立陽明交通大學射箭社陽明分部）,nycu,club,體能性社團,true,學務處社團介紹頁列出；陽明校區
nycu_sk8,交大滑板社,nycu,club,體能性社團,true,搜尋結果佐證（IG 帳號頁「交大滑板社」）；光復校區
nycu_cheerleading,陽明交大競技啦啦隊,nycu,club,體能性社團,true,搜尋結果佐證（IG 帳號頁「陽明交大競技啦啦隊」）；光復校區
parkour_nthu_nctu,交大跑酷社,nycu,club,體能性社團,true,搜尋結果佐證，為清大交大聯合跑酷帳號；光復校區；unverified
nycu_vulpes_racing,陽明交大青年方程式賽車隊（NYCU Vulpes Racing）,nycu,club,任務性社團,true,搜尋結果佐證（IG 帳號頁）＋車隊官網；光復校區
nycumedsa,陽明醫學系學生會,nycu,department,學生自治組織,true,搜尋結果標題確認（第32屆）
koinonia_hsinchu,Koinonia Hsinchu 清交柏克萊學生團契,nycu,club,學術性社團,true,清交聯合團契；官網 koinonia-hsinchu.org 佐證
nctu.railcamp,交通大學鐵道文化營,nycu,club,學術性社團,true,unverified：僅搜得鐵道文化營（鐵研會主辦活動）帳號，未見社團主帳號
nycuhsssa,陽明交通大學人社系學會,nycu,department,學生自治組織,true,搜尋結果標題確認
nctu_bio_tech,生物科技學系學生會,nycu,department,學生自治組織,true,搜尋結果標題確認（第27屆）
nycu_fl,外國語文學系學生會,nycu,department,學生自治組織,true,搜尋結果標題確認
nycu_dac,應用化學系學生會,nycu,department,學生自治組織,true,linktr.ee/nycudac 佐證
ymmt_student_association,陽明醫學生物技術暨檢驗學系系學會,nycu,department,學生自治組織,true,搜尋結果標題確認（第29屆）
nthu_whyou,清大懷幼社,nthu,club,服務性A,true,IG「清大懷幼社WHYOU」；另有 YouTube @NTHUwhyou
nthubc,清大區塊鏈研究社,nthu,club,學術性A,true,IG 現與 NTHU GDGOC 聯名「NTHU GDGOC X 清大區塊鏈研究社」
nthumdclub,清大音樂文化發展社,nthu,club,學術性A,true,IG 簡介「清音社 清大第一個音樂祭籌備社團」
igem_nthu,清大iGEM基因工程研究社,nthu,club,學術性A,true,iGEM NTHU-Taiwan 隊伍帳號、逐年沿用
nthucg,清大管理顧問社,nthu,club,學術性A,true,NTHU Consulting Group；LinkedIn 有 Threads 短網址但無法確認 handle 故未收
nthu_dsc,清大資料科學社,nthu,club,學術性A,true,清大管院職涯辦公告正文標示 @nthu_dsc
hultprize_nthu,清大霍特獎社,nthu,club,學術性A,true,清大國際處2026校園賽公告列出；註冊社團2025曾遭停權一年但賽事續辦
maygong.official,清大梅竹工作會,nthu,club,功能性,true,清大電子報招募公告佐證
mei.chuuuuu,清大梅竹火力班,nthu,club,功能性,true,清大電子報招募公告佐證
nthucarelife,清大關懷生命社,nthu,club,服務性B,true,清大懷生社/校園流浪犬關懷社、IG約4800粉絲
greenpepper_ccc,清大學園團契社,nthu,club,學術性B,true,unverified：學園傳道會(青椒)帳號、疑為新竹區聯合而非清大專屬
dreamlife_nthu_nycu,交大夢想方程式,nycu,club,學術性社團,true,NYCU官方「運動與社團」連結頁直連此IG；handle顯示為清大交大共用帳號；光復校區
nycu_bible_study_club,交大聖經研習社,nycu,club,學術性社團,true,NYCU官方「運動與社團」連結頁直連此IG；學務處介紹頁列舊handle nctu_bible_study_club(疑改名)；光復校區
ymfaithhopelove,陽明信望愛社,nycu,club,學術性社團,true,學務處社團介紹頁直連此IG；陽明校區
nycu_hymntruth,陽明詩歌真理社,nycu,club,學術性社團,true,學務處社團介紹頁直連此IG；陽明校區
ym_leatherarts,陽明皮藝社,nycu,club,學藝性社團,true,NYCU學務處社團介紹頁直連此IG;陽明校區;英文名NYCU Leathercraft
nymu_piano,陽明鋼琴社,nycu,club,學藝性社團,true,NYCU學務處社團介紹頁直連此IG;陽明校區
ym_icook,陽明烘焙研究社,nycu,club,學藝性社團,true,NYCU學務處社團介紹頁直連此IG;陽明校區
aising_orchestra,陽明愛杏管弦樂團,nycu,club,學藝性社團,true,NYCU學務處社團介紹頁直連此IG;陽明校區
nycu_harmonica,交大竹韻口琴社,nycu,club,學藝性社團,true,使用者提供 2026-08-21
nycu_archery,交大射箭社,nycu,club,體能性社團,true,2026-08 sweep：dead-FB 查證時發現並驗證；光復校區
nthu_cdyv,清大崇德青年志工社,nthu,club,服務性,true,2026-08 sweep：原 FB 已消失改用 IG（已驗證 656 followers）
nthu_ibbasa,科技管理學院學士班國際學程學生會,nthu,department,學生自治,true,清大課指組社團系統直連（2026-08 sweep 驗證）
nthuacc_since_1973,清大原住民文化社,nthu,club,綜合性,true,清大課指組社團系統直連（2026-08 sweep 驗證）
nthu_wenfu,清大基層文化服務社,nthu,club,服務性,true,清大課指組社團系統直連（2026-08 sweep 驗證）
nthu_sanda,清大散打搏擊社,nthu,club,體育性A,true,清大課指組社團系統直連（2026-08 sweep 驗證）
nthuarchery,現代弓射箭社,nthu,club,體育性A,true,清大課指組社團系統直連（2026-08 sweep 驗證）
nthu.itvc_1st,原住民清華村社,nthu,club,綜合性,true,清大課指組社團系統直連（2026-08 sweep 驗證）
nthu_kga,清大雄友會,nthu,club,聯誼性,true,清大課指組社團系統直連（2026-08 sweep 驗證）
nthu.lanyo,宜蘭校友會,nthu,club,聯誼性,true,清大課指組社團系統直連（2026-08 sweep 驗證）
nycugoclub,交大圍棋社,nycu,club,康樂性,true,2026-08 sweep：研究 nycu_0（high）
nctupc,交大攝影社,nycu,club,學藝性,true,2026-08 sweep：研究 nycu_0（high）
msc_nycu,交大伊斯蘭學生社,nycu,club,任務性,true,2026-08 sweep：研究 nycu_0（med）
ym_fitnessclub,陽明健身社,nycu,club,體能性,true,2026-08 sweep：研究 nycu_0（high）
ocsa.story,交大僑生聯誼會交大分會,nycu,club,任務性,true,2026-08 sweep：研究 nycu_0（high）
nycu_eo,交大光電工程學系學生會,nycu,official,學生自治組織,true,2026-08 sweep：研究 nycu_0（med）
jullay_official,交大印度國際志工團,nycu,club,任務性,true,2026-08 sweep：研究 nycu_0（high）
nctu_dj_club,交大唱片騎師社,nycu,club,音樂戲劇性,true,2026-08 sweep：研究 nycu_0（high）
nctu_hiphop,交大嘻哈文化研究社,nycu,club,音樂戲劇性,true,2026-08 sweep：研究 nycu_0（high）
nycu_leadership,國立陽明交通大學青年領袖社（陽明校區）,nycu,club,學術性,true,2026-08 sweep：研究 nycu_0（high）
nycuymgoclub,陽明圍棋社,nycu,club,康樂性,true,2026-08 sweep：研究 nycu_0（high）
nycu_softball_official,交大壘球社,nycu,club,體能性,true,2026-08 sweep：研究 nycu_0（med）
nthuhss.sa,人社院學士班,nthu,official,自治性,true,2026-08 sweep：研究 nthu_0（high）
faithhopelove_nthu,信望愛社(南大),nthu,club,學術性B,true,2026-08 sweep：研究 nthu_0（high）
nthukendo,劍道社,nthu,club,體育性B,true,2026-08 sweep：研究 nthu_0（high）
nthu_che,化工系會,nthu,official,自治性,true,2026-08 sweep：研究 nthu_0（high）
nthulala,啦啦隊,nthu,club,體育性B,true,2026-08 sweep：研究 nthu_0（high）
nycu_astronomy,交大天文研究社,nycu,club,學術性,true,2026-08 sweep：研究 nycu_1（high）
nycu.iem.sa,交大工業工程與管理學系學生會,nycu,official,學生自治組織,true,2026-08 sweep：研究 nycu_1（high）
nycu_msesa,交大材料科學與工程學系學生會,nycu,official,學生自治組織,true,2026-08 sweep：研究 nycu_1（high）
nycubgc,交大桌上遊戲社(交大校區),nycu,club,康樂性,true,2026-08 sweep：研究 nycu_1（high）
nctu_dogs,交大汪汪社,nycu,club,服務性,true,2026-08 sweep：研究 nycu_1（high）
nycu.ym_ls,陽明生命科學系系學會,nycu,official,學生自治組織,true,2026-08 sweep：研究 nycu_1（med）
nycu_bme,陽明生物醫學工程學系學生會,nycu,official,學生自治組織,true,2026-08 sweep：研究 nycu_1（high）
thsm088,學士後醫學系系學會,nthu,official,自治性,true,2026-08 sweep：研究 nthu_1（high）
nthu_rainbowclub,彩虹同志社,nthu,club,學術性B,true,2026-08 sweep：研究 nthu_1（high）
nthu_happy_child,快樂兒童社,nthu,club,服務性B,true,2026-08 sweep：研究 nthu_1（high）
educationservice_nthu,教育服務團,nthu,club,服務性B,true,2026-08 sweep：研究 nthu_1（high）
nycu_birs_27th,陽明生物醫學影像暨放射科學系學生會,nycu,official,學生自治組織,true,2026-08 sweep：研究 nycu_2（high）
nycu_mountain_cc,陽明登山社,nycu,club,體能性,true,2026-08 sweep：研究 nycu_2（high）
nycu.steamedu,交大科技教育研討社,nycu,club,任務性,true,2026-08 sweep：研究 nycu_2（high）
nycu.orchestra,交大管弦樂團,nycu,club,音樂戲劇性,true,2026-08 sweep：研究 nycu_2（high）
nycu_pharmacy,陽明藥學系系學會,nycu,official,學生自治組織,true,2026-08 sweep：研究 nycu_2（high）
nycu_nursing,陽明護理學系系學會,nycu,official,學生自治組織,true,2026-08 sweep：研究 nycu_2（high）
vulpecula_magic,交大赤狐魔術社,nycu,club,康樂性,true,2026-08 sweep：研究 nycu_2（high）
vsa.nycu_tw,交大越南學生協會,nycu,club,任務性,true,2026-08 sweep：研究 nycu_2（high）
nctu.ri,交大鐵道研究會,nycu,club,學術性,true,2026-08 sweep：研究 nycu_2（high）
sus_action_nthu,永續行動社,nthu,club,學術性A,true,2026-08 sweep：研究 nthu_2（high）
nthu.dafa,法輪大法社,nthu,club,體育性B,true,2026-08 sweep：研究 nthu_2（high）
nthu.thaisa,泰國學生聯誼會同好會,nthu,club,綜合性,true,2026-08 sweep：研究 nthu_2（high）
nthuclssa,生科系會,nthu,official,自治性,true,2026-08 sweep：研究 nthu_2（med）
nthu_ipmt_sa,科管院學士班,nthu,official,自治性,true,2026-08 sweep：研究 nthu_2（high）
aiesecinnthu,經濟商管學生會,nthu,club,學術性A,true,2026-08 sweep：研究 nthu_2（high）
nthutc,網球社,nthu,club,體育性B,true,2026-08 sweep：研究 nthu_2（high）
nymuguitar,陽明吉他社,nycu,club,學藝性,true,2026-08 sweep：研究 nycu_3（high）
nycupc,陽明攝影社,nycu,club,學藝性,true,2026-08 sweep：研究 nycu_3（high）
illu_sionatti,陽明魔術社,nycu,club,康樂性,true,2026-08 sweep：研究 nycu_3（high）
nycuesportsclub,交大電子競技社,nycu,club,體能性,true,2026-08 sweep：研究 nycu_3（high）
nctu_leadership,交大青年領袖社,nycu,club,學術性,true,2026-08 sweep：研究 nycu_3（med）
farming__star__nthu,耕星社,nthu,club,服務性A,true,2026-08 sweep：研究 nthu_3（high）
nthu_churchlife,聖經研習社,nthu,club,學術性B,true,2026-08 sweep：研究 nthu_3（high）
nthu_bluesky,藍天社,nthu,club,服務性B,true,2026-08 sweep：研究 nthu_3（high）
nthu_kss,運動科學系系學會,nthu,official,自治性,true,2026-08 sweep：研究 nthu_3（high）
nthu.yueren.cafe,閱人咖啡館社,nthu,club,學術性B,true,2026-08 sweep：研究 nthu_3（high）
nthu_eecsgsa,電資院學士班國際組學生會,nthu,official,自治性,true,2026-08 sweep：研究 nthu_3（high）
nthu.msa,馬來西亞同學會,nthu,club,綜合性,true,2026-08 sweep：研究 nthu_3（high）
nctu_bible_study_club,交大聖經研習社,nycu,club,學術性,true,2026-08 sweep：OSA 官方頁（high）
nthumathsa,清大數學系系學會,nthu,department,,true,2026-08 sweep：ig_hunt_0（high）
nthu_aiyu_club,愛慾實務社,nthu,club,學術性B,true,2026-08 sweep：ig_hunt_0（high）
nthu.mount,登山社,nthu,club,體育性B,true,2026-08 sweep：ig_hunt_0（high）
nthucac,清大藝術中心(藝術文化總中心),nthu,official,,true,2026-08 sweep：ig_hunt_0（high）
nthumusicplus,清大音樂學系,nthu,department,,true,2026-08 sweep：ig_hunt_0（med）
