platform,username,name,school,org_type,category_hint,active,notes
facebook,NthuCarelife,清大關懷生命社,nthu,club,服務性B,true,同名粉專
facebook,https://www.facebook.com/groups/199957686709226,清大信望愛社(南大),nthu,club,學術性B,true,公開 FB 社團(group)而非粉專、課外組頁連出
facebook,unlocklabshop,清大夢想方程式社,nthu,club,學術性B,true,unverified：課外組官方社團頁連出的帳號、但頁名與社名不符
instagram,koinonia_hsinchu,清大柏克萊學生團契,nthu,club,學術性B,true,清交柏克萊學生團契(Koinonia)、linktr.ee/koinonia_hsinchu；2026仍有活動貼文
facebook,koinoniahsinchu,清大柏克萊學生團契,nthu,club,學術性B,true,同 Linktree 佐證
facebook,CIE.at.NTHU,清大中國工程師學會清華分會,nthu,club,學術性B,true,課外組學術性社團頁連出；更新狀態未確認
facebook,nthunatureclub,清大自然保育社,nthu,club,學術性B,true,課外組社團頁連出；2025評鑑優等
facebook,NTHUKorea,清大韓語交流文化學習社,nthu,club,學術性B,true,課外組學術性社團頁連出；更新狀態未確認
facebook,nthuleadership,清大青年領袖研習社,nthu,club,學術性B,true,課外組學術性社團頁連出
instagram,greenpepper_ccc,清大學園團契社,nthu,club,學術性B,true,unverified：學園傳道會(青椒)帳號、疑為新竹區聯合而非清大專屬
facebook,https://www.facebook.com/groups/NTHUCC/,清大學園團契社,nthu,club,學術性B,true,公開 FB 社團(group)；佐證頁為2021年、unverified 更新狀態
facebook,NTHUSRchan,清大禪學社(南大),nthu,club,學術性B,true,課外組學術性社團頁連出；更新狀態未確認
